gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
Male,1,No,No,5,One year,No,Mailed check,No,49.2,287.2,No
Female,0,No,No,33,One year,DSL,Credit card (automatic),No,56.13,1831.8,No
Female,0,Yes,No,14,One year,Fiber optic,Credit card (automatic),No,88.43,1201.08,No
Male,0,No,Yes,49,Month-to-month,No,Mailed check,Yes,28.5,1404.46,No
Male,1,Yes,No,56,One year,Fiber optic,Credit card (automatic),No,96.6,5406.72,No
Male,0,Yes,No,70,Month-to-month,No,Credit card (automatic),No,26.51,1868.55,No
Female,0,No,No,25,Month-to-month,No,Mailed check,Yes,34.38,824.0,No
Female,0,No,Yes,21,Month-to-month,DSL,Mailed check,Yes,68.15,1463.25,No
Male,0,No,No,22,Month-to-month,Fiber optic,Credit card (automatic),Yes,97.58,2087.8,Yes
Male,0,No,No,55,One year,Fiber optic,Mailed check,Yes,75.15,4111.02,No
Female,0,No,No,32,Two year,DSL,Mailed check,Yes,69.04,2265.66,No
Male,0,Yes,Yes,1,Month-to-month,Fiber optic,Credit card (automatic),No,73.22,16.65,No
Male,0,Yes,Yes,69,One year,DSL,Bank transfer (automatic),No,34.2,2412.04,No
Male,0,Yes,No,7,One year,No,Mailed check,Yes,26.02,111.71,No
Male,1,No,No,67,Two year,Fiber optic,Credit card (automatic),No,95.02,6286.81,No
Male,0,No,No,11,One year,Fiber optic,Bank transfer (automatic),No,84.85,858.69,Yes
Female,0,No,Yes,39,Month-to-month,Fiber optic,Mailed check,Yes,78.58,3070.46,Yes
Female,0,Yes,No,22,Month-to-month,No,Mailed check,No,35.67,821.13,No
Female,0,Yes,No,50,One year,Fiber optic,Electronic check,No,85.27,4328.07,No
Female,0,No,Yes,29,Month-to-month,No,Electronic check,No,42.46,1292.06,No
Female,0,No,No,26,Two year,No,Credit card (automatic),Yes,18.0,511.13,No
Male,0,Yes,No,34,Two year,DSL,Electronic check,Yes,58.77,1956.65,No
Male,0,Yes,No,70,Two year,DSL,Credit card (automatic),No,61.49,4262.37,No
Female,1,Yes,No,17,Month-to-month,DSL,Electronic check,Yes,43.62,780.85,No
Male,1,Yes,No,16,One year,Fiber optic,Bank transfer (automatic),Yes,68.45,1166.28,Yes
Female,0,Yes,No,4,One year,Fiber optic,Bank transfer (automatic),Yes,80.62,270.94,Yes
Female,0,Yes,Yes,53,Month-to-month,DSL,Credit card (automatic),Yes,60.1,3250.12,No
Male,0,No,No,49,Month-to-month,No,Mailed check,Yes,35.14,1626.07,No
Female,0,Yes,Yes,44,Month-to-month,DSL,Credit card (automatic),No,53.32,2365.74,No
Female,0,Yes,No,1,Month-to-month,Fiber optic,Mailed check,Yes,77.83,72.64,Yes
Male,0,Yes,No,57,Two year,Fiber optic,Credit card (automatic),No,80.26,4564.49,No
Male,0,No,No,59,Two year,Fiber optic,Electronic check,No,88.58,5227.92,No
Female,0,Yes,No,68,Month-to-month,DSL,Mailed check,Yes,74.94,5052.92,No
Female,1,Yes,No,67,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,58.36,3932.1,No
Male,0,Yes,Yes,19,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,92.48,1760.08,No
Female,0,No,No,51,Month-to-month,DSL,Credit card (automatic),No,58.67,3038.74,No
Male,0,No,Yes,29,Month-to-month,Fiber optic,Mailed check,No,91.31,2727.47,Yes
Female,0,Yes,No,43,One year,Fiber optic,Bank transfer (automatic),Yes,99.23,4273.09,No
Female,0,Yes,No,24,One year,Fiber optic,Bank transfer (automatic),No,75.94,1781.59,No
Male,1,Yes,Yes,47,Two year,Fiber optic,Credit card (automatic),No,96.33,4470.69,No
Female,0,No,No,69,Two year,Fiber optic,Electronic check,Yes,69.95,4911.57,No
Female,0,No,No,47,Month-to-month,No,Electronic check,No,36.53,1795.48,No
Female,0,Yes,No,67,One year,Fiber optic,Bank transfer (automatic),No,82.09,5544.39,No
Male,0,Yes,No,68,Month-to-month,DSL,Electronic check,No,60.56,4120.76,No
Male,0,No,Yes,8,Month-to-month,No,Electronic check,Yes,23.13,225.81,Yes
Male,0,No,No,70,Month-to-month,DSL,Bank transfer (automatic),Yes,65.24,4632.21,No
Male,0,Yes,Yes,59,Month-to-month,No,Mailed check,Yes,54.04,3157.19,No
Male,0,Yes,No,31,Month-to-month,Fiber optic,Mailed check,Yes,73.34,2274.96,Yes
Female,0,Yes,Yes,43,Month-to-month,DSL,Mailed check,Yes,62.28,2622.55,Yes
Female,0,No,No,45,Month-to-month,Fiber optic,Bank transfer (automatic),No,95.27,4280.72,No
Female,1,No,No,57,Two year,DSL,Mailed check,Yes,56.44,3294.24,No
Male,0,No,Yes,58,Month-to-month,No,Credit card (automatic),Yes,51.32,3030.76,No
Male,0,No,No,7,Month-to-month,No,Electronic check,Yes,29.84,215.66,Yes
Female,0,Yes,No,0,Two year,Fiber optic,Electronic check,Yes,83.6,0.0,No
Male,0,Yes,Yes,17,One year,Fiber optic,Electronic check,Yes,73.08,1209.61,No
Female,0,Yes,No,38,Month-to-month,Fiber optic,Credit card (automatic),No,86.52,3292.85,Yes
Female,0,No,No,61,Two year,Fiber optic,Mailed check,No,85.04,5176.42,No
Male,0,No,No,47,Month-to-month,DSL,Electronic check,Yes,67.63,3180.29,No
Male,0,Yes,No,9,Month-to-month,No,Mailed check,No,27.37,258.42,Yes
Male,0,Yes,No,52,Month-to-month,DSL,Bank transfer (automatic),No,51.82,2667.75,No
Male,1,No,No,34,Month-to-month,DSL,Mailed check,No,65.55,2228.32,No
Male,0,No,Yes,26,Two year,DSL,Mailed check,No,76.77,1988.45,No
Female,0,No,Yes,56,Month-to-month,No,Electronic check,Yes,42.55,2347.53,No
Female,0,Yes,Yes,21,One year,No,Bank transfer (automatic),Yes,57.17,1292.86,No
Female,0,No,No,45,One year,Fiber optic,Electronic check,No,91.66,4101.04,No
Female,1,No,No,13,Two year,DSL,Electronic check,Yes,66.23,748.3,No
Female,0,No,No,27,Month-to-month,No,Bank transfer (automatic),Yes,43.15,1254.25,No
Male,0,No,Yes,40,Month-to-month,Fiber optic,Credit card (automatic),Yes,102.86,4072.01,No
Male,0,No,No,45,Two year,No,Bank transfer (automatic),Yes,49.85,2288.28,No
Female,0,No,No,67,One year,No,Credit card (automatic),Yes,21.98,1438.71,No
Male,0,No,No,21,Month-to-month,Fiber optic,Mailed check,Yes,94.61,2015.21,No
Male,0,Yes,Yes,65,Month-to-month,DSL,Bank transfer (automatic),No,63.18,4104.57,No
Female,1,Yes,No,59,One year,Fiber optic,Mailed check,Yes,82.67,4927.64,No
Female,0,No,Yes,26,One year,No,Bank transfer (automatic),No,18.0,457.31,No
Female,0,No,Yes,10,One year,Fiber optic,Credit card (automatic),Yes,66.52,632.41,No
Female,0,Yes,No,18,Two year,No,Bank transfer (automatic),Yes,30.63,564.13,No
Male,0,Yes,No,48,Month-to-month,Fiber optic,Electronic check,No,67.42,3217.27,No
Female,1,No,No,57,Month-to-month,No,Bank transfer (automatic),Yes,30.87,1663.41,Yes
Female,0,No,No,44,One year,Fiber optic,Mailed check,Yes,93.57,4087.1,No
Female,0,No,No,52,Two year,DSL,Bank transfer (automatic),No,53.03,2900.92,No
Female,0,Yes,Yes,7,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,86.0,510.94,No
Female,0,No,No,36,One year,DSL,Bank transfer (automatic),Yes,47.16,1709.83,Yes
Male,0,No,No,63,Month-to-month,Fiber optic,Credit card (automatic),No,88.59,5568.72,Yes
Male,0,Yes,Yes,28,Month-to-month,No,Credit card (automatic),Yes,41.1,1242.55,No
Male,0,Yes,No,65,Two year,DSL,Credit card (automatic),No,42.92,2734.56,No
Male,0,No,No,9,Month-to-month,No,Bank transfer (automatic),Yes,25.98,238.86,No
Male,0,Yes,Yes,71,Month-to-month,DSL,Mailed check,Yes,44.79,3214.68,No
Male,0,No,No,57,One year,Fiber optic,Electronic check,Yes,91.11,5184.34,No
Female,0,No,No,45,Month-to-month,No,Credit card (automatic),No,36.97,1625.19,No
Female,0,No,No,45,Month-to-month,Fiber optic,Credit card (automatic),Yes,84.4,3797.05,No
Female,1,Yes,No,68,Two year,No,Electronic check,No,33.46,2259.85,No
Female,0,No,No,27,Month-to-month,No,Electronic check,No,38.87,1033.98,No
Female,0,Yes,No,12,One year,Fiber optic,Bank transfer (automatic),Yes,89.11,1115.91,No
Female,0,No,No,67,Month-to-month,No,Electronic check,Yes,29.05,1966.7,No
Male,1,Yes,No,7,Month-to-month,DSL,Electronic check,No,52.37,394.2,Yes
Female,0,No,No,48,One year,Fiber optic,Credit card (automatic),No,84.29,4062.53,No
Male,0,No,Yes,19,Month-to-month,DSL,Electronic check,Yes,57.72,1144.73,No
Male,0,Yes,No,67,Two year,No,Electronic check,No,59.73,4067.0,No
Female,0,Yes,Yes,71,Two year,Fiber optic,Credit card (automatic),Yes,80.39,5693.59,No
Female,0,No,No,34,Two year,Fiber optic,Electronic check,No,88.48,3049.16,No
Male,1,Yes,No,38,Month-to-month,No,Credit card (automatic),No,40.59,1477.65,No
Male,0,Yes,No,33,Month-to-month,DSL,Bank transfer (automatic),Yes,76.81,2421.95,Yes
Male,0,Yes,No,31,Two year,No,Bank transfer (automatic),Yes,25.27,874.56,No
Male,0,No,No,68,Month-to-month,DSL,Credit card (automatic),Yes,76.08,5156.48,No
Male,0,No,No,20,One year,Fiber optic,Electronic check,Yes,83.23,1677.25,Yes
Female,0,Yes,No,70,Two year,Fiber optic,Electronic check,No,115.02,7989.87,No
Female,0,No,No,47,Month-to-month,Fiber optic,Electronic check,Yes,89.35,4135.94,Yes
Female,0,Yes,No,70,Month-to-month,Fiber optic,Mailed check,No,70.25,4882.05,Yes
Female,0,Yes,Yes,44,One year,Fiber optic,Credit card (automatic),No,82.63,3668.05,No
Female,1,Yes,No,59,One year,No,Electronic check,No,51.04,2985.25,No
Female,0,Yes,No,35,Month-to-month,DSL,Mailed check,Yes,60.98,2117.46,No
Male,0,Yes,No,33,One year,DSL,Mailed check,No,59.28,1919.16,No
Male,0,No,No,18,Two year,DSL,Electronic check,Yes,68.63,1293.59,No
Female,0,Yes,No,15,Month-to-month,Fiber optic,Mailed check,Yes,80.86,1256.33,No
Male,0,No,No,2,Month-to-month,DSL,Electronic check,Yes,57.47,90.73,No
Male,0,Yes,Yes,27,One year,DSL,Electronic check,No,48.66,1348.13,No
Male,0,Yes,No,72,One year,No,Bank transfer (automatic),Yes,55.75,4001.44,No
Female,1,Yes,No,68,Two year,No,Credit card (automatic),Yes,20.33,1365.47,No
Male,0,No,No,50,Month-to-month,No,Mailed check,Yes,37.03,1849.19,No
Female,0,No,No,26,Two year,DSL,Bank transfer (automatic),No,65.76,1741.89,No
Male,0,Yes,Yes,37,One year,Fiber optic,Bank transfer (automatic),Yes,84.84,3094.33,No
Male,0,Yes,No,55,One year,DSL,Credit card (automatic),No,44.95,2497.57,No
Male,0,Yes,No,0,Month-to-month,Fiber optic,Credit card (automatic),No,73.01,124.89,Yes
Male,1,No,No,67,Month-to-month,Fiber optic,Credit card (automatic),Yes,91.27,6124.26,No
Female,0,Yes,No,63,Month-to-month,No,Credit card (automatic),Yes,25.64,1617.2,No
Male,1,No,No,70,Month-to-month,Fiber optic,Credit card (automatic),Yes,60.14,4205.3,No
Male,0,Yes,No,6,Month-to-month,DSL,Credit card (automatic),Yes,64.64,411.77,No
Female,0,Yes,Yes,69,Two year,Fiber optic,Bank transfer (automatic),No,74.53,5062.05,No
Female,0,No,Yes,44,Month-to-month,No,Mailed check,Yes,42.57,1958.34,No
Male,0,Yes,No,40,Two year,DSL,Mailed check,No,57.58,2352.28,No
Female,0,Yes,No,13,Month-to-month,No,Bank transfer (automatic),No,32.0,383.8,No
Female,0,No,No,35,Two year,DSL,Credit card (automatic),No,60.63,2123.52,No
Male,0,Yes,No,26,Month-to-month,DSL,Credit card (automatic),Yes,46.34,1176.92,No
Female,1,Yes,Yes,72,One year,No,Bank transfer (automatic),No,25.09,1821.77,No
Female,0,Yes,Yes,24,One year,DSL,Electronic check,No,56.88,1368.21,No
Female,0,No,No,15,Two year,Fiber optic,Mailed check,Yes,71.27,1080.45,Yes
Male,0,No,No,69,Month-to-month,DSL,Bank transfer (automatic),No,68.57,4679.62,No
Male,0,Yes,No,13,Month-to-month,Fiber optic,Mailed check,Yes,81.31,1032.97,Yes
Male,1,No,No,66,Two year,Fiber optic,Mailed check,No,67.61,4519.35,No
Female,0,No,No,70,Month-to-month,No,Mailed check,No,28.29,1953.73,No
Female,0,No,No,22,One year,No,Electronic check,No,36.21,664.54,No
Male,0,No,Yes,50,Month-to-month,Fiber optic,Mailed check,No,79.65,3974.81,Yes
Male,0,No,No,58,Month-to-month,Fiber optic,Mailed check,No,89.8,5328.85,Yes
Female,0,No,No,39,One year,DSL,Credit card (automatic),Yes,66.89,2651.09,No
Female,0,Yes,Yes,50,One year,Fiber optic,Electronic check,Yes,113.82,5661.81,No
Female,0,Yes,Yes,9,One year,Fiber optic,Mailed check,No,98.81,886.74,No
Male,0,No,No,37,Month-to-month,DSL,Credit card (automatic),No,40.36,1527.44,Yes
Female,0,Yes,No,37,One year,No,Mailed check,No,30.68,1047.24,No
Male,0,No,No,41,Two year,DSL,Mailed check,Yes,56.8,2286.01,No
Female,1,Yes,No,68,Month-to-month,DSL,Electronic check,Yes,66.9,4569.18,No
Male,0,No,No,60,Month-to-month,No,Bank transfer (automatic),No,23.8,1507.54,No
Male,0,Yes,No,44,Month-to-month,Fiber optic,Credit card (automatic),No,78.62,3437.53,No
Male,0,No,No,29,One year,Fiber optic,Mailed check,Yes,70.07,2110.3,No
Female,0,Yes,Yes,29,Month-to-month,DSL,Mailed check,Yes,52.77,1492.7,No
Female,1,Yes,No,1,One year,Fiber optic,Bank transfer (automatic),No,78.22,0.0,Yes
Male,0,No,No,40,Month-to-month,Fiber optic,Mailed check,No,81.24,3286.95,No
Female,0,No,No,18,One year,DSL,Mailed check,Yes,45.76,850.73,No
Male,0,No,No,64,Two year,Fiber optic,Credit card (automatic),Yes,96.78,6231.0,No
Male,0,No,No,56,Month-to-month,DSL,Mailed check,Yes,65.67,3712.18,No
Male,0,Yes,Yes,66,Month-to-month,DSL,Credit card (automatic),Yes,42.61,2822.11,No
Female,0,No,No,72,Month-to-month,DSL,Mailed check,Yes,60.31,4329.5,No
Male,0,Yes,No,29,Month-to-month,DSL,Bank transfer (automatic),Yes,41.22,1184.26,No
Female,0,No,Yes,31,Month-to-month,DSL,Mailed check,No,76.11,2336.3,Yes
Male,0,Yes,No,44,Two year,Fiber optic,Bank transfer (automatic),Yes,104.37,4572.23,No
Male,0,Yes,No,31,Month-to-month,Fiber optic,Mailed check,No,84.33,2523.71,Yes
Male,0,No,Yes,20,Month-to-month,DSL,Electronic check,Yes,49.77,934.65,Yes
Female,0,No,Yes,51,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,77.03,3920.3,No
Male,0,Yes,No,32,Month-to-month,DSL,Credit card (automatic),Yes,54.56,1633.72,No
Female,0,No,Yes,68,Two year,Fiber optic,Electronic check,Yes,83.72,5592.44,No
Female,0,No,Yes,16,Month-to-month,No,Bank transfer (automatic),No,51.45,806.42,No
Male,0,Yes,No,32,Month-to-month,Fiber optic,Bank transfer (automatic),No,96.47,3080.53,Yes
Female,0,No,No,38,Month-to-month,Fiber optic,Bank transfer (automatic),No,96.65,3657.11,No
Female,0,Yes,No,66,Two year,DSL,Electronic check,No,62.05,3976.1,No
Male,0,Yes,No,42,Two year,DSL,Electronic check,No,46.16,2016.2,No
Male,1,No,No,5,Month-to-month,Fiber optic,Bank transfer (automatic),No,75.76,306.99,No
Male,0,Yes,No,24,One year,Fiber optic,Bank transfer (automatic),Yes,85.73,2016.58,No
Female,0,Yes,No,64,Two year,Fiber optic,Mailed check,No,70.59,4454.47,No
Male,0,No,No,19,One year,No,Mailed check,Yes,38.65,799.26,No
Female,0,Yes,No,24,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,94.66,2292.95,Yes
Female,0,No,No,11,One year,No,Mailed check,No,41.54,433.32,No
Female,0,No,No,52,One year,Fiber optic,Mailed check,No,91.06,4708.06,No
Male,0,Yes,No,10,Month-to-month,DSL,Bank transfer (automatic),Yes,37.6,385.03,No
Female,0,No,No,26,Month-to-month,DSL,Credit card (automatic),No,76.0,1913.68,Yes
Male,0,Yes,No,51,Month-to-month,Fiber optic,Credit card (automatic),Yes,66.19,3394.8,No
Male,0,No,No,65,Month-to-month,DSL,Electronic check,No,58.17,3753.42,No
Male,1,Yes,No,16,Month-to-month,Fiber optic,Mailed check,No,92.42,1504.74,No
Male,0,No,No,24,Two year,Fiber optic,Electronic check,Yes,89.3,2167.56,No
Male,0,Yes,Yes,8,Two year,Fiber optic,Credit card (automatic),No,69.67,527.65,Yes
Male,0,No,Yes,31,Month-to-month,Fiber optic,Bank transfer (automatic),No,71.82,2123.79,Yes
Male,0,Yes,Yes,72,Month-to-month,Fiber optic,Electronic check,No,88.44,6355.69,No
Male,0,Yes,No,22,One year,Fiber optic,Credit card (automatic),No,91.13,1932.39,No
Female,0,Yes,No,18,Month-to-month,No,Bank transfer (automatic),No,21.71,394.78,No
Male,0,No,Yes,29,Month-to-month,DSL,Electronic check,Yes,64.71,1863.79,No
Female,1,No,No,65,Two year,No,Electronic check,No,18.0,1140.6,No
Female,0,Yes,Yes,39,Month-to-month,DSL,Credit card (automatic),Yes,67.49,2567.44,No
Female,0,Yes,Yes,44,Month-to-month,DSL,Mailed check,Yes,49.39,2232.67,Yes
Female,0,Yes,No,56,One year,Fiber optic,Bank transfer (automatic),Yes,85.97,4791.42,Yes
Female,0,Yes,No,52,One year,DSL,Credit card (automatic),Yes,58.95,3183.13,No
Female,0,No,No,43,Month-to-month,DSL,Mailed check,No,73.93,3180.65,No
Female,0,No,No,40,One year,DSL,Electronic check,No,62.91,2533.8,No
Female,0,No,No,38,Two year,Fiber optic,Electronic check,No,77.81,2958.77,No
Male,0,Yes,Yes,13,Month-to-month,Fiber optic,Credit card (automatic),Yes,89.32,1178.18,Yes
Male,0,Yes,No,30,One year,DSL,Bank transfer (automatic),Yes,85.71,2625.9,Yes
Female,0,No,No,61,Month-to-month,Fiber optic,Mailed check,Yes,93.88,5781.98,Yes
Male,1,Yes,Yes,2,Month-to-month,DSL,Electronic check,Yes,59.29,30.25,No
Female,0,No,No,60,Month-to-month,No,Bank transfer (automatic),Yes,25.0,1542.57,No
Male,0,Yes,No,41,Month-to-month,DSL,Electronic check,Yes,52.6,2181.54,No
Male,1,Yes,No,25,Month-to-month,Fiber optic,Electronic check,No,93.16,2330.79,Yes
Female,1,No,No,8,Two year,Fiber optic,Bank transfer (automatic),Yes,74.37,680.59,No
Female,0,Yes,No,55,Month-to-month,Fiber optic,Bank transfer (automatic),No,85.03,4764.41,No
Female,0,No,Yes,0,Two year,No,Bank transfer (automatic),No,52.25,45.23,No
Male,0,Yes,No,39,Month-to-month,Fiber optic,Credit card (automatic),No,86.8,3358.21,No
Female,0,Yes,No,11,Two year,Fiber optic,Mailed check,Yes,72.05,732.93,No
Female,0,Yes,Yes,66,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,111.13,7372.58,Yes
Female,0,Yes,Yes,13,Month-to-month,Fiber optic,Mailed check,No,106.15,1447.92,Yes
Female,0,No,No,58,One year,Fiber optic,Mailed check,Yes,91.01,5177.39,No
Female,1,Yes,Yes,41,One year,DSL,Electronic check,Yes,75.31,3141.99,No
Female,0,No,No,2,Month-to-month,DSL,Credit card (automatic),No,56.8,100.85,Yes
Male,0,No,No,52,Month-to-month,DSL,Bank transfer (automatic),No,68.69,3481.61,No
Female,0,Yes,Yes,64,One year,No,Bank transfer (automatic),No,29.92,1938.19,No
Female,1,Yes,No,16,One year,No,Electronic check,Yes,18.74,345.23,No
Female,1,Yes,Yes,70,Month-to-month,DSL,Electronic check,Yes,91.1,6359.65,No
Female,0,No,No,58,One year,Fiber optic,Credit card (automatic),No,68.12,3898.18,No
Female,0,No,No,54,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,88.57,4868.42,No
Male,0,Yes,Yes,24,Month-to-month,Fiber optic,Electronic check,Yes,88.43,2088.9,Yes
Female,0,No,No,8,One year,Fiber optic,Bank transfer (automatic),Yes,91.19,787.51,Yes
Male,0,Yes,No,31,Two year,Fiber optic,Credit card (automatic),No,83.92,2525.98,No
Male,0,Yes,No,58,Month-to-month,DSL,Credit card (automatic),Yes,59.05,3445.64,No
Female,0,Yes,No,42,Month-to-month,Fiber optic,Mailed check,No,86.66,3659.13,Yes
Female,0,No,No,47,Month-to-month,DSL,Mailed check,Yes,65.76,3134.32,No
Male,0,Yes,No,57,One year,DSL,Credit card (automatic),Yes,59.98,3493.41,No
Male,0,Yes,Yes,24,Month-to-month,Fiber optic,Mailed check,No,84.18,1979.63,No
Male,0,Yes,No,2,Month-to-month,Fiber optic,Bank transfer (automatic),No,69.15,164.33,Yes
Male,0,No,Yes,64,Month-to-month,No,Credit card (automatic),No,59.16,3718.18,No
Male,0,Yes,No,44,Two year,DSL,Mailed check,No,66.43,2853.95,No
Male,0,Yes,No,41,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,87.51,3558.87,Yes
Female,0,Yes,No,41,One year,No,Mailed check,Yes,27.51,1148.23,No
Female,0,No,No,62,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,72.96,4607.15,No
Female,1,Yes,Yes,56,Month-to-month,No,Electronic check,Yes,45.32,2630.86,No
Male,0,No,No,48,Month-to-month,No,Credit card (automatic),No,33.08,1570.17,No
Male,1,Yes,No,57,Month-to-month,No,Bank transfer (automatic),No,42.45,2435.08,No
Male,1,Yes,No,21,Month-to-month,No,Electronic check,Yes,18.77,441.41,No
Female,0,No,No,51,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,103.56,5319.94,Yes
Male,0,No,Yes,71,Month-to-month,Fiber optic,Mailed check,No,95.82,6794.5,No
Male,0,Yes,No,17,Month-to-month,No,Credit card (automatic),Yes,34.03,582.27,No
Male,0,No,Yes,41,Month-to-month,No,Credit card (automatic),Yes,40.61,1659.56,No
Female,0,No,Yes,49,Month-to-month,DSL,Mailed check,Yes,68.89,3365.29,No
Male,0,Yes,No,37,Month-to-month,DSL,Bank transfer (automatic),Yes,43.96,1609.31,No
Male,1,No,No,70,Month-to-month,DSL,Electronic check,Yes,80.13,5603.39,No
Female,0,No,Yes,29,One year,No,Credit card (automatic),Yes,40.8,1162.88,No
Female,0,Yes,Yes,15,Two year,DSL,Bank transfer (automatic),Yes,51.55,716.49,No
Male,0,No,No,9,One year,DSL,Bank transfer (automatic),Yes,46.84,464.7,No
Male,0,Yes,Yes,61,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,96.85,5933.37,No
Female,0,Yes,Yes,50,Two year,DSL,Mailed check,Yes,62.53,3220.53,No
Female,0,No,Yes,42,Two year,No,Bank transfer (automatic),Yes,40.79,1731.71,No
Female,0,No,Yes,31,Month-to-month,Fiber optic,Mailed check,Yes,85.32,2624.07,Yes
Male,0,No,No,29,Month-to-month,DSL,Bank transfer (automatic),No,47.97,1359.72,No
Male,0,No,No,68,One year,DSL,Electronic check,No,66.1,4497.4,No
Female,0,No,No,49,Two year,No,Electronic check,Yes,32.63,1626.49,No
Male,0,Yes,No,70,One year,Fiber optic,Credit card (automatic),Yes,84.74,5919.54,No
Male,1,No,No,58,One year,Fiber optic,Bank transfer (automatic),No,113.52,6510.88,No
Female,0,No,No,56,One year,DSL,Electronic check,Yes,70.43,3907.06,No
Female,0,No,No,40,Two year,No,Electronic check,No,46.12,1845.75,No
Male,0,Yes,No,17,Month-to-month,Fiber optic,Bank transfer (automatic),No,117.65,2037.0,Yes
Female,0,Yes,No,47,Month-to-month,Fiber optic,Electronic check,Yes,89.61,4137.61,No
Male,0,Yes,No,52,Two year,Fiber optic,Mailed check,Yes,86.44,4507.95,Yes
Female,0,Yes,No,38,Month-to-month,No,Mailed check,Yes,26.85,1031.34,No
Female,1,Yes,No,1,Month-to-month,Fiber optic,Electronic check,Yes,79.57,56.99,Yes
Male,0,No,No,70,Month-to-month,Fiber optic,Mailed check,Yes,60.43,4201.09,No
Female,0,No,Yes,60,Month-to-month,No,Mailed check,No,44.49,2632.29,No
Male,0,Yes,No,25,Month-to-month,No,Electronic check,Yes,19.8,501.96,No
Female,0,Yes,No,36,One year,Fiber optic,Bank transfer (automatic),No,95.83,3506.32,No
Male,0,No,Yes,9,Month-to-month,Fiber optic,Mailed check,No,84.48,820.24,No
Male,0,Yes,No,68,One year,Fiber optic,Electronic check,Yes,86.54,5828.3,No
Female,0,No,No,16,Month-to-month,Fiber optic,Electronic check,No,84.49,1342.52,No
Female,0,Yes,Yes,27,Two year,DSL,Credit card (automatic),No,76.63,1959.41,No
Male,0,Yes,No,31,One year,Fiber optic,Electronic check,Yes,99.51,3090.37,No
Female,0,Yes,Yes,19,Two year,Fiber optic,Credit card (automatic),No,84.65,1638.3,No
Female,0,No,No,46,Month-to-month,Fiber optic,Electronic check,No,74.21,3492.3,No
Male,0,Yes,No,72,Month-to-month,No,Electronic check,Yes,46.09,3228.92,No
Female,0,No,No,62,One year,DSL,Bank transfer (automatic),No,48.31,2940.51,No
Female,0,Yes,No,38,Two year,No,Credit card (automatic),Yes,18.0,691.21,No
Male,0,Yes,No,9,Month-to-month,DSL,Electronic check,No,65.98,512.9,No
Male,1,No,No,63,One year,DSL,Mailed check,No,74.62,4709.79,No
Female,0,Yes,No,18,One year,DSL,Credit card (automatic),Yes,55.14,1023.65,No
Male,0,Yes,No,66,Month-to-month,Fiber optic,Electronic check,Yes,89.85,5866.31,Yes
Female,0,No,No,28,One year,Fiber optic,Electronic check,Yes,80.01,2246.96,Yes
Female,0,No,No,37,Month-to-month,DSL,Mailed check,No,68.66,2479.95,No
Male,0,Yes,No,31,Month-to-month,Fiber optic,Credit card (automatic),Yes,98.14,3111.12,No
Male,0,Yes,No,33,Two year,Fiber optic,Credit card (automatic),Yes,81.85,2711.24,Yes
Female,0,No,Yes,12,Month-to-month,DSL,Bank transfer (automatic),Yes,47.67,540.02,No
Male,1,No,Yes,40,One year,Fiber optic,Bank transfer (automatic),No,67.52,2638.72,No
Male,0,No,No,29,One year,DSL,Electronic check,Yes,71.11,2081.6,No
Female,1,No,Yes,61,Two year,DSL,Electronic check,Yes,46.36,2895.93,No
Female,0,No,No,34,Month-to-month,DSL,Credit card (automatic),Yes,64.46,2153.21,Yes
Female,0,Yes,No,70,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,94.33,6581.04,No
Female,0,Yes,No,21,Month-to-month,Fiber optic,Electronic check,Yes,78.98,1621.06,Yes
Female,0,No,Yes,23,One year,No,Bank transfer (automatic),Yes,33.01,836.9,No
Male,0,No,No,2,Month-to-month,Fiber optic,Bank transfer (automatic),No,96.99,98.55,Yes
Female,0,No,No,53,One year,Fiber optic,Bank transfer (automatic),Yes,75.3,4055.27,No
Female,0,No,Yes,5,Month-to-month,DSL,Credit card (automatic),Yes,49.08,226.56,No
Female,0,Yes,No,20,Month-to-month,DSL,Bank transfer (automatic),No,57.19,1140.17,No
Female,0,No,No,66,Two year,Fiber optic,Electronic check,Yes,100.33,6605.08,No
Male,0,No,No,44,Two year,DSL,Credit card (automatic),Yes,79.33,3502.45,No
Female,0,Yes,No,40,Month-to-month,DSL,Electronic check,Yes,58.81,2316.09,No
Male,1,No,Yes,58,One year,No,Bank transfer (automatic),Yes,26.45,1587.28,No
Female,0,No,No,56,Month-to-month,DSL,Credit card (automatic),Yes,72.77,4130.03,No
Male,0,Yes,No,64,One year,DSL,Electronic check,No,39.97,2508.81,No
